id,name,cname,data_type,view_column_name
76,$city,城市,2,p__city
2,$device_id_list,关联设备 ID,3,p__device_id_list
3,$is_deleted,是否删除,6,p__is_deleted
77,$name,用户名,2,p__name
75,$province,省份,2,p__province
78,$signup_time,注册时间,5,p__signup_time
79,$utm_campaign,广告系列名称,2,p__utm_campaign
80,$utm_content,广告系列内容,2,p__utm_content
81,$utm_matching_type,iOS渠道追踪匹配模式,2,p__utm_matching_type
82,$utm_medium,广告系列媒介,2,p__utm_medium
83,$utm_source,广告系列来源,2,p__utm_source
84,$utm_term,广告系列字词,2,p__utm_term
47,agentid,代理商ID,2,p_agentid
48,companygroup,企业分组,2,p_companygroup
49,companyindustry1,企业一级行业,2,p_companyindustry1
50,companyindustry2,企业二级行业,2,p_companyindustry2
51,companyname,企业名称,2,p_companyname
52,companyscale,企业规模,2,p_companyscale
53,companysource,企业来源,2,p_companysource
54,companytype,企业付费类别,2,p_companytype
55,dregetime,开通时间,5,p_dregetime
239,gtId,gtId,2,p_gtid
226,jgId,jgId,2,p_jgid
242,likesport,likesport,3,p_likesport
236,money,money,1,p_money
237,name,name,2,p_name
238,schoolAddress,schoolAddress,2,p_schooladdress
249,some_reach_id,some_reach_id,2,p_some_reach_id
218,xmId,xmId,2,p_xmid
